PC1,IM,GM
0.26962021570962497,-0.89,Bajo
-0.3353366434391729,-1.1,Muy bajo
-0.6531572960381621,-0.6,Bajo
-0.7777551569719693,0.46,Alto
-0.2589398095532799,-1.1,Muy bajo
-0.2870753717802119,-0.73,Bajo
-0.08416424525765398,2.41,Muy alto
-0.2810209264522859,-0.6,Bajo
0.009962984751436935,-1.45,Muy bajo
-0.22207924213815072,0.05,Medio
0.8195816722248346,-0.07,Medio
0.8560072892529387,2.56,Muy alto
1.082649004727147,0.5,Alto
0.22707408944326496,-0.82,Bajo
-0.2996417966733279,-0.57,Bajo
0.7186995196772341,0.5,Alto
0.20066650159174254,-0.2,Medio
-0.09145323710880374,0.31,Medio
-0.4673076966705783,-1.39,Muy bajo
0.11835743213223728,2.12,Muy alto
-0.04997402955733152,0.69,Alto
0.5740563283507274,-0.49,Bajo
-1.5497956051743667,-0.37,Medio
0.5296353084394031,0.58,Alto
-0.2332170109897315,-0.24,Medio
-0.7039967790122637,-0.7,Bajo
0.3075826299250382,0.3,Medio
-0.7280621846214248,-0.62,Bajo
-0.3663388204177267,-0.2,Medio
0.5781769380581756,1.14,Alto
0.11321487204276207,0.51,Alto
0.9840310655298696,0.01,Medio
