CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,LUGAR,A.O
1,Aguascalientes,1065416,4.16,17.82,1.68,0.85,1.79,34.34,2.36,24.67,32.79,-0.95,Bajo,28,2005
2,Baja California,2844469,3.08,15.02,0.56,1.49,4.89,32.26,3.95,9.27,14.24,-1.25,Muy bajo,30,2005
3,Baja California Sur,512170,3.62,16.49,1.84,2.88,11.28,35.16,8.27,19.84,24.07,-0.72,Bajo,24,2005
4,Campeche,754730,10.2,26.96,9.85,4.85,11.15,51.42,8.77,32.01,55.1,0.56,Alto,8,2005
5,Coahuila de Zaragoza,2495200,3.29,14.6,1.65,0.77,2.17,33.71,2.51,12.33,32.97,-1.14,Muy bajo,29,2005
6,Colima,567996,6.42,21.58,0.8,0.67,1.66,34.92,8.4,15.78,42.66,-0.74,Bajo,25,2005
7,Chiapas,4293459,21.35,42.76,8.07,5.88,25.9,60.2,32.99,58.46,78.14,2.33,Muy alto,2,2005
8,Chihuahua,3241444,4.42,18.81,3.29,4.28,6.45,31.93,6.45,17.54,27.25,-0.68,Bajo,23,2005
9,Distrito Federal,8720916,2.59,9.7,0.16,0.15,1.51,29.31,1.12,0.52,33.04,-1.5,Muy bajo,32,2005
10,Durango,1509117,4.84,22.92,8.51,3.52,8.63,36.09,11.34,38.64,50.04,-0.02,Medio,15,2005
11,Guanajuato,4893812,10.44,28.8,9.87,1.93,6.14,40.99,8.95,34.46,44.69,0.09,Medio,14,2005
12,Guerrero,3115202,19.88,35.98,27.18,6.33,31.34,55.06,35.69,50.51,64.97,2.41,Muy alto,1,2005
13,Hidalgo,2345514,12.8,27.5,8.98,3.9,12.21,42.69,12.78,57.28,61.63,0.75,Alto,5,2005
14,Jalisco,6752113,5.56,21.3,2.42,1.12,5.91,33.27,5.35,17.4,34.74,-0.77,Bajo,27,2005
15,México,14007495,5.32,16.24,4.76,0.96,6.04,41.46,6.04,18.63,41.18,-0.62,Bajo,21,2005
16,Michoacán de Ocampo,3966073,12.58,33.48,5.66,2.11,9.97,40.01,15.67,40.51,55.79,0.46,Alto,10,2005
17,Morelos,1612899,8.13,21.01,3.1,0.81,7.84,38.63,10.71,22.88,37.77,-0.44,Bajo,20,2005
18,Nayarit,949684,8.02,26.05,6.78,4.38,8.35,37.73,9.93,41.67,51.73,0.19,Medio,12,2005
19,Nuevo León,4199292,2.78,12.7,0.54,0.56,3.48,33.49,2.34,7.13,23.55,-1.33,Muy bajo,31,2005
20,Oaxaca,3506821,19.35,38.49,6.84,7.21,26.29,53.06,35.17,61.27,69.65,2.13,Muy alto,3,2005
21,Puebla,5383133,12.71,29.02,5.45,2.19,14.03,49.16,15.86,39,61.34,0.63,Alto,7,2005
22,Querétaro,1598139,8.14,20.03,9.95,2.99,5.76,37.6,8.59,38.34,39.23,-0.14,Medio,17,2005
23,Quintana Roo,1135309,6.58,19.42,5.19,2.59,4.66,49.9,8.41,17.1,36.78,-0.32,Bajo,19,2005
24,San Luis Potosí,2410414,9.92,27.42,5.72,5.58,16.97,38.6,19.67,41.18,56.11,0.66,Alto,6,2005
25,Sinaloa,2608442,6.42,23.42,5.14,1.92,6.24,43.08,9.78,35.3,44.95,-0.15,Medio,18,2005
26,Sonora,2394861,3.73,17.21,1.92,1.87,4.01,38.73,9.67,18.29,31.76,-0.75,Bajo,26,2005
27,Tabasco,1989969,8.57,25.1,3.99,1.95,22.94,47.11,9.11,55.78,51.97,0.46,Alto,9,2005
28,Tamaulipas,3024238,4.52,18.61,0.84,2.88,4.26,39.24,5.39,14.92,37.56,-0.68,Bajo,22,2005
29,Tlaxcala,1068207,6.68,18.78,4.84,1.11,2.03,47.93,6.26,40.3,62.59,-0.13,Medio,16,2005
30,Veracruz de Ignacio de la Llave,7110214,13.42,32.9,4.18,4.67,23.32,45.02,22.77,46.68,58.36,1.08,Alto,4,2005
31,Yucatán,1818948,10.89,29.99,17.96,2.61,3.03,48.36,4.81,27.42,63,0.43,Alto,11,2005
32,Zacatecas,1367692,7.2,30.83,10.53,1.91,6.72,37.06,6.29,50.59,54.25,0.16,Medio,13,2005
