PC1,IM,GM
-1.0045649278726358,-0.97,Bajo
-1.902141000785282,-1.27,Muy bajo
-1.2572982664297436,-0.8,Bajo
-0.15873156872177654,0.7,Alto
-1.6406346572426753,-1.2,Muy bajo
-0.6326419328204679,-0.69,Bajo
2.9970951669975334,2.25,Muy alto
-1.593531827235929,-0.78,Bajo
-2.5189285820096936,-1.53,Muy bajo
-0.20921946225681615,-0.11,Medio
0.6774853262530418,0.08,Alto
2.6044161466119102,2.12,Muy alto
1.4649687406852954,0.88,Muy alto
-1.0290763086930788,-0.76,Bajo
-1.0857904847452147,-0.6,Bajo
1.2721062285741451,0.45,Alto
-0.1795927732936725,-0.36,Medio
0.5050119187590968,0.06,Alto
-2.054612943136479,-1.39,Muy bajo
2.911134700049701,2.08,Muy alto
1.4655079233814283,0.72,Alto
0.06286051520503101,-0.11,Medio
-0.6894634097142003,-0.36,Medio
-0.14652751022960964,0.72,Alto
0.43386290229984037,-0.1,Medio
-0.9369870447334361,-0.76,Bajo
1.0311046236421413,0.66,Alto
-1.2692338146548539,-0.69,Bajo
0.49817876139220585,-0.18,Medio
0.6217791305434374,1.28,Muy alto
0.10863235790825183,0.38,Alto
1.654832072272499,0.3,Alto
