CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,LUGAR,A.O
1,Aguascalientes,862720,5.62,22.04,4.26,2.68,1.96,55.96,4.04,25.49,53.79,-1.05,Muy bajo,28,1995
2,Baja California,2112140,3.97,17.82,0.46,4.5,13.15,56.13,6.95,10.9,40.53,-1.27,Muy bajo,30,1995
3,Baja California Sur,375494,4.92,19.66,2.32,6.97,9.01,58.6,12.39,26.16,50.55,-0.84,Bajo,26,1995
4,Campeche,642516,13.8,28.05,27.96,11.82,21.61,73.05,20.69,35.32,74,0.78,Alto,8,1995
5,Coahuila de Zaragoza,2173775,4.82,17.72,5.23,2.36,5.34,56.34,5.43,14.69,54.57,-1.18,Muy bajo,29,1995
6,Colima,488028,8.63,23.33,3.53,2.85,4.09,60.06,15.51,19.15,57.98,-0.71,Bajo,23,1995
7,Chiapas,3584786,26.07,34.93,27.58,22.78,34.22,81.8,42.32,62.95,81.99,2.36,Muy alto,1,1995
8,Chihuahua,2793537,5.38,22.52,6,8.46,8.13,54.44,9.56,21.91,56.39,-0.78,Bajo,25,1995
9,Distrito Federal,8489007,2.98,11.23,0.12,0.08,2.18,56.4,2.29,0.36,47.32,-1.74,Muy bajo,32,1995
10,Durango,1431748,6.06,27.01,19.22,9.12,10.35,59.17,16.71,44.9,67.71,0,Medio,15,1995
11,Guanajuato,4406568,14.09,26.6,18.19,5.11,11,66.7,14.14,38.3,67.71,0.13,Medio,13,1995
12,Guerrero,2916567,23.96,26.96,43.17,13.34,35.2,79.62,42.83,53.72,75.94,1.91,Muy alto,2,1995
13,Hidalgo,2112473,16.94,26.7,24.87,10.69,20.48,71.57,24.35,59.94,77.17,1,Alto,5,1995
14,Jalisco,5991176,7.44,24.24,7.86,3.37,8.6,60.92,11.15,20.92,61.4,-0.6,Bajo,22,1995
15,México,11707964,7.1,19.29,8.66,2.25,8.4,64.48,10.3,20.07,57.22,-0.74,Bajo,24,1995
16,Michoacán de Ocampo,3870604,15.46,27.7,12.84,6.51,13.46,65.81,22.87,43.41,72.99,0.39,Alto,12,1995
17,Morelos,1442662,10.57,19.32,6.99,1.3,9.58,62.79,15.7,24.24,62.77,-0.55,Bajo,20,1995
18,Nayarit,896702,10.09,26.4,13.66,5.5,13.24,64.95,16.18,44.63,66.05,0.05,Medio,14,1995
19,Nuevo León,3550114,3.81,15.15,1.32,1.93,5.46,51.93,6.55,8.26,47.69,-1.5,Muy bajo,31,1995
20,Oaxaca,3228895,23.11,29.17,27.27,14.07,32.89,75.83,43.09,65.58,79.77,1.85,Muy alto,3,1995
21,Puebla,4624365,16.31,26.86,16.7,7.31,21.27,74.37,28.65,42.6,76.07,0.8,Alto,7,1995
22,Querétaro,1250476,11.89,17.35,23.59,8.44,10.66,62.86,10.81,44.37,57.47,-0.19,Medio,16,1995
23,Quintana Roo,703536,9.72,24.44,14.55,7.44,10.79,70.05,14.33,24.61,53.47,-0.22,Medio,18,1995
24,San Luis Potosí,2200763,13.19,27.48,16.58,17.95,26.42,62.66,22.87,46.17,72.89,0.76,Alto,9,1995
25,Sinaloa,2425675,8.31,26.45,7.29,4.72,11.92,65.4,17.46,40.37,56.31,-0.21,Medio,17,1995
26,Sonora,2085536,4.95,20.09,3.9,5.25,5.91,59.98,14.78,22.68,51.61,-0.85,Bajo,27,1995
27,Tabasco,1748769,10.99,28.63,12.84,8.93,34.82,71.04,13.64,57.27,69.56,0.67,Alto,10,1995
28,Tamaulipas,2527328,5.99,21.37,2.4,9.25,11.04,61.32,12.85,18.97,60.51,-0.58,Bajo,21,1995
29,Tlaxcala,883924,8.76,20.05,11.97,2.22,4.31,72.65,9.49,35,76.19,-0.23,Medio,19,1995
30,Veracruz de Ignacio de la Llave,6737324,16.43,28.43,8.31,17.27,37.76,67.2,29.67,48.62,76.45,1.13,Muy alto,4,1995
31,Yucatán,1556622,15,33.52,48.27,5.33,14.38,71.04,17.13,29.32,78.18,0.8,Alto,6,1995
32,Zacatecas,1336496,9.05,35.58,31.38,7.14,17.22,61.99,13.29,58.04,74.19,0.6,Alto,11,1995
